ticker,market_cap,lookup_status,bucket
HLI,11156713472.0,success,Large-cap
HLLY,371528256.0,success,Small-cap
HLN,43016372224.0,success,Large-cap
HLT,75416305664.0,success,Large-cap
HOG,2700723200.0,success,Mid-cap
HOLX,16968846336.0,success,Large-cap
HOMB,5590285824.0,success,Mid-cap
HON,147127926784.0,success,Large-cap
HOOD,78614929408.0,success,Large-cap
HPE,32715266048.0,success,Large-cap
HPK,729086272.0,success,Small-cap
HPQ,17652842496.0,success,Large-cap
HQY,7148453888.0,success,Mid-cap
HR,6291891200.0,success,Mid-cap
HRL,11368871936.0,success,Large-cap
HSIC,8883793920.0,success,Mid-cap
HST,14412167168.0,success,Large-cap
HSY,38894366720.0,success,Large-cap
HTZ,2049085952.0,success,Mid-cap
HUBB,28012974080.0,success,Large-cap
HUBS,11530135552.0,success,Large-cap
HUM,23922622464.0,success,Large-cap
HWC,5473867264.0,success,Mid-cap
HWKN,3074070784.0,success,Mid-cap
HWM,101854814208.0,success,Large-cap
HYFM,4294821.0,success,Small-cap
HYLN,345935296.0,success,Small-cap
IAC,3325500672.0,success,Mid-cap
IBB,12266503168.0,success,Large-cap
IBKR,135488167936.0,success,Large-cap
IBM,229722554368.0,success,Mega-cap
IBN,105067175936.0,success,Large-cap
IBP,7654204928.0,success,Mid-cap
IBRX,8034546688.0,success,Mid-cap
ICE,93742678016.0,success,Large-cap
ICL,6879285760.0,success,Mid-cap
ICLR,9060453376.0,success,Mid-cap
IDCC,9409633280.0,success,Mid-cap
IDXX,46242455552.0,success,Large-cap
IEP,4989349888.0,success,Mid-cap
IESC,10546295808.0,success,Large-cap
IFF,18274304000.0,success,Large-cap
IIPR,1460251520.0,success,Small-cap
ILMN,20222554112.0,success,Large-cap
IMCR,1603992320.0,success,Small-cap
IMUX,144815952.0,success,Small-cap
INCY,19324305408.0,success,Large-cap
INDI,615222272.0,success,Small-cap
INFA,,no_cap,
INFY,57907404800.0,success,Large-cap
INGN,168840560.0,success,Small-cap
INMD,902862208.0,success,Small-cap
INSG,229471680.0,success,Small-cap
INSP,1631079552.0,success,Small-cap
INTC,326064439296.0,success,Mega-cap
INTU,108448972800.0,success,Large-cap
IOT,16753665024.0,success,Large-cap
IOVA,1573693312.0,success,Small-cap
IP,19331540992.0,success,Large-cap
IPGLF,5382142464.0,success,Mid-cap
IPGP,5149231104.0,success,Mid-cap
IR,32948256768.0,success,Large-cap
IRDM,4016754432.0,success,Mid-cap
IRM,33778720768.0,success,Large-cap
IRT,3811287552.0,success,Mid-cap
IRTC,4020528128.0,success,Mid-cap
ISRG,166347276288.0,success,Large-cap
IT,10983835648.0,success,Large-cap
ITA,,no_cap,
ITB,,no_cap,
ITGR,3025782272.0,success,Mid-cap
ITRI,4323397120.0,success,Mid-cap
ITW,76197199872.0,success,Large-cap
